	datasetoi	datasetor	goldstandardoi	goldstandardor	method	moduledef	ofinterest	ofreference	organismoi	runningtime	score	organismnetoi	organismnetor	weight
259	human_gtex	yeast_gpl2529	regcircuit	yeast_sisima#mcl1	dummy		human_gtex#regcircuit	yeast_gpl2529#yeast_sisima#mcl1	human	0.002426624298095703	0.018247862062484712	regcircuit	yeast	0.005050505050505051
260	human_gtex	yeast_gpl2529	regcircuit	yeast_sisima#mcl2	dummy		human_gtex#regcircuit	yeast_gpl2529#yeast_sisima#mcl2	human	0.002426624298095703	0.018247862062484712	regcircuit	yeast	0.005050505050505051
261	human_gtex	yeast_gpl2529	regcircuit	yeast_sisima#mcl3	dummy		human_gtex#regcircuit	yeast_gpl2529#yeast_sisima#mcl3	human	0.002426624298095703	0.018247862062484712	regcircuit	yeast	0.005050505050505051
262	human_gtex	yeast_gpl2529	regcircuit	yeast_sisima#minimal	dummy		human_gtex#regcircuit	yeast_gpl2529#yeast_sisima#minimal	human	0.002426624298095703	0.018247862062484712	regcircuit	yeast	0.005050505050505051
263	human_gtex	yeast_gpl2529	regcircuit	yeast_sisima#strict	dummy		human_gtex#regcircuit	yeast_gpl2529#yeast_sisima#strict	human	0.002426624298095703	0.018247862062484712	regcircuit	yeast	0.005050505050505051
264	human_gtex	yeast_gpl2529	regcircuit	yeast_sisima#tc1	dummy		human_gtex#regcircuit	yeast_gpl2529#yeast_sisima#tc1	human	0.002426624298095703	0.018247862062484712	regcircuit	yeast	0.005050505050505051
265	human_gtex	yeast_gpl2529	regcircuit	yeast_sisima#tc2	dummy		human_gtex#regcircuit	yeast_gpl2529#yeast_sisima#tc2	human	0.002426624298095703	0.018247862062484712	regcircuit	yeast	0.005050505050505051
266	human_gtex	yeast_gpl2529	regcircuit	yeast_sisima#tc3	dummy		human_gtex#regcircuit	yeast_gpl2529#yeast_sisima#tc3	human	0.002426624298095703	0.018247862062484712	regcircuit	yeast	0.005050505050505051
267	human_seek_gpl5175	ecoli_colombos	regcircuit	ecoli_regulondb#ap1	dummy		human_seek_gpl5175#regcircuit	ecoli_colombos#ecoli_regulondb#ap1	human	0.003151893615722656	0.04456213261151315	regcircuit	ecoli	0.005050505050505051
268	human_seek_gpl5175	ecoli_colombos	regcircuit	ecoli_regulondb#ap2	dummy		human_seek_gpl5175#regcircuit	ecoli_colombos#ecoli_regulondb#ap2	human	0.0031719207763671875	0.01348510202824332	regcircuit	ecoli	0.005050505050505051
269	human_seek_gpl5175	ecoli_colombos	regcircuit	ecoli_regulondb#ap3	dummy		human_seek_gpl5175#regcircuit	ecoli_colombos#ecoli_regulondb#ap3	human	0.003151893615722656	0.04456213261151315	regcircuit	ecoli	0.005050505050505051
270	human_seek_gpl5175	ecoli_colombos	regcircuit	ecoli_regulondb#mcl1	dummy		human_seek_gpl5175#regcircuit	ecoli_colombos#ecoli_regulondb#mcl1	human	0.003151893615722656	0.04456213261151315	regcircuit	ecoli	0.005050505050505051
271	human_seek_gpl5175	ecoli_colombos	regcircuit	ecoli_regulondb#mcl2	dummy		human_seek_gpl5175#regcircuit	ecoli_colombos#ecoli_regulondb#mcl2	human	0.003151893615722656	0.04456213261151315	regcircuit	ecoli	0.005050505050505051
272	human_seek_gpl5175	ecoli_colombos	regcircuit	ecoli_regulondb#mcl3	dummy		human_seek_gpl5175#regcircuit	ecoli_colombos#ecoli_regulondb#mcl3	human	0.003151893615722656	0.04456213261151315	regcircuit	ecoli	0.005050505050505051
273	human_seek_gpl5175	ecoli_colombos	regcircuit	ecoli_regulondb#minimal	dummy		human_seek_gpl5175#regcircuit	ecoli_colombos#ecoli_regulondb#minimal	human	0.003151893615722656	0.04456213261151315	regcircuit	ecoli	0.005050505050505051
274	human_seek_gpl5175	ecoli_colombos	regcircuit	ecoli_regulondb#strict	dummy		human_seek_gpl5175#regcircuit	ecoli_colombos#ecoli_regulondb#strict	human	0.003151893615722656	0.04456213261151315	regcircuit	ecoli	0.005050505050505051
275	human_seek_gpl5175	ecoli_colombos	regcircuit	ecoli_regulondb#tc1	dummy		human_seek_gpl5175#regcircuit	ecoli_colombos#ecoli_regulondb#tc1	human	0.003151893615722656	0.04456213261151315	regcircuit	ecoli	0.005050505050505051
276	human_seek_gpl5175	ecoli_colombos	regcircuit	ecoli_regulondb#tc2	dummy		human_seek_gpl5175#regcircuit	ecoli_colombos#ecoli_regulondb#tc2	human	0.0031719207763671875	0.01348510202824332	regcircuit	ecoli	0.005050505050505051
277	human_seek_gpl5175	ecoli_colombos	regcircuit	ecoli_regulondb#tc3	dummy		human_seek_gpl5175#regcircuit	ecoli_colombos#ecoli_regulondb#tc3	human	0.003151893615722656	0.04456213261151315	regcircuit	ecoli	0.005050505050505051
278	human_seek_gpl5175	ecoli_dream5	regcircuit	ecoli_regulondb#ap1	dummy		human_seek_gpl5175#regcircuit	ecoli_dream5#ecoli_regulondb#ap1	human	0.0036661624908447274	0.04566545914109668	regcircuit	ecoli	0.005050505050505051
279	human_seek_gpl5175	ecoli_dream5	regcircuit	ecoli_regulondb#ap2	dummy		human_seek_gpl5175#regcircuit	ecoli_dream5#ecoli_regulondb#ap2	human	0.0031719207763671875	0.01348510202824332	regcircuit	ecoli	0.005050505050505051
280	human_seek_gpl5175	ecoli_dream5	regcircuit	ecoli_regulondb#ap3	dummy		human_seek_gpl5175#regcircuit	ecoli_dream5#ecoli_regulondb#ap3	human	0.003151893615722656	0.04456213261151315	regcircuit	ecoli	0.005050505050505051
281	human_seek_gpl5175	ecoli_dream5	regcircuit	ecoli_regulondb#mcl1	dummy		human_seek_gpl5175#regcircuit	ecoli_dream5#ecoli_regulondb#mcl1	human	0.0036661624908447274	0.04566545914109668	regcircuit	ecoli	0.005050505050505051
282	human_seek_gpl5175	ecoli_dream5	regcircuit	ecoli_regulondb#mcl2	dummy		human_seek_gpl5175#regcircuit	ecoli_dream5#ecoli_regulondb#mcl2	human	0.003151893615722656	0.04456213261151315	regcircuit	ecoli	0.005050505050505051
283	human_seek_gpl5175	ecoli_dream5	regcircuit	ecoli_regulondb#mcl3	dummy		human_seek_gpl5175#regcircuit	ecoli_dream5#ecoli_regulondb#mcl3	human	0.0036661624908447274	0.04566545914109668	regcircuit	ecoli	0.005050505050505051
284	human_seek_gpl5175	ecoli_dream5	regcircuit	ecoli_regulondb#minimal	dummy		human_seek_gpl5175#regcircuit	ecoli_dream5#ecoli_regulondb#minimal	human	0.0036661624908447274	0.04566545914109668	regcircuit	ecoli	0.005050505050505051
285	human_seek_gpl5175	ecoli_dream5	regcircuit	ecoli_regulondb#strict	dummy		human_seek_gpl5175#regcircuit	ecoli_dream5#ecoli_regulondb#strict	human	0.003151893615722656	0.04456213261151315	regcircuit	ecoli	0.005050505050505051
286	human_seek_gpl5175	ecoli_dream5	regcircuit	ecoli_regulondb#tc1	dummy		human_seek_gpl5175#regcircuit	ecoli_dream5#ecoli_regulondb#tc1	human	0.003151893615722656	0.04456213261151315	regcircuit	ecoli	0.005050505050505051
287	human_seek_gpl5175	ecoli_dream5	regcircuit	ecoli_regulondb#tc2	dummy		human_seek_gpl5175#regcircuit	ecoli_dream5#ecoli_regulondb#tc2	human	0.0036661624908447274	0.04566545914109668	regcircuit	ecoli	0.005050505050505051
288	human_seek_gpl5175	ecoli_dream5	regcircuit	ecoli_regulondb#tc3	dummy		human_seek_gpl5175#regcircuit	ecoli_dream5#ecoli_regulondb#tc3	human	0.003151893615722656	0.04456213261151315	regcircuit	ecoli	0.005050505050505051
292	human_seek_gpl5175	yeast_dream5	regcircuit	yeast_macisaac#ap1	dummy		human_seek_gpl5175#regcircuit	yeast_dream5#yeast_macisaac#ap1	human	0.003212451934814453	0.054246887704524266	regcircuit	yeast	0.005050505050505051
293	human_seek_gpl5175	yeast_dream5	regcircuit	yeast_macisaac#ap2	dummy		human_seek_gpl5175#regcircuit	yeast_dream5#yeast_macisaac#ap2	human	0.0031719207763671875	0.01348510202824332	regcircuit	yeast	0.005050505050505051
294	human_seek_gpl5175	yeast_dream5	regcircuit	yeast_macisaac#ap3	dummy		human_seek_gpl5175#regcircuit	yeast_dream5#yeast_macisaac#ap3	human	0.003212451934814453	0.054246887704524266	regcircuit	yeast	0.005050505050505051
295	human_seek_gpl5175	yeast_dream5	regcircuit	yeast_macisaac#mcl1	dummy		human_seek_gpl5175#regcircuit	yeast_dream5#yeast_macisaac#mcl1	human	0.0036661624908447274	0.04566545914109668	regcircuit	yeast	0.005050505050505051
296	human_seek_gpl5175	yeast_dream5	regcircuit	yeast_macisaac#mcl2	dummy		human_seek_gpl5175#regcircuit	yeast_dream5#yeast_macisaac#mcl2	human	0.003151893615722656	0.04456213261151315	regcircuit	yeast	0.005050505050505051
297	human_seek_gpl5175	yeast_dream5	regcircuit	yeast_macisaac#mcl3	dummy		human_seek_gpl5175#regcircuit	yeast_dream5#yeast_macisaac#mcl3	human	0.0036661624908447274	0.04566545914109668	regcircuit	yeast	0.005050505050505051
298	human_seek_gpl5175	yeast_dream5	regcircuit	yeast_macisaac#minimal	dummy		human_seek_gpl5175#regcircuit	yeast_dream5#yeast_macisaac#minimal	human	0.003151893615722656	0.04456213261151315	regcircuit	yeast	0.005050505050505051
299	human_seek_gpl5175	yeast_dream5	regcircuit	yeast_macisaac#strict	dummy		human_seek_gpl5175#regcircuit	yeast_dream5#yeast_macisaac#strict	human	0.003151893615722656	0.04456213261151315	regcircuit	yeast	0.005050505050505051
300	human_seek_gpl5175	yeast_dream5	regcircuit	yeast_macisaac#tc1	dummy		human_seek_gpl5175#regcircuit	yeast_dream5#yeast_macisaac#tc1	human	0.0036661624908447274	0.04566545914109668	regcircuit	yeast	0.005050505050505051
301	human_seek_gpl5175	yeast_dream5	regcircuit	yeast_macisaac#tc2	dummy		human_seek_gpl5175#regcircuit	yeast_dream5#yeast_macisaac#tc2	human	0.0031719207763671875	0.01348510202824332	regcircuit	yeast	0.005050505050505051
302	human_seek_gpl5175	yeast_dream5	regcircuit	yeast_macisaac#tc3	dummy		human_seek_gpl5175#regcircuit	yeast_dream5#yeast_macisaac#tc3	human	0.0036661624908447274	0.04566545914109668	regcircuit	yeast	0.005050505050505051
303	human_seek_gpl5175	yeast_dream5	regcircuit	yeast_sisima#ap1	dummy		human_seek_gpl5175#regcircuit	yeast_dream5#yeast_sisima#ap1	human	0.0031719207763671875	0.01348510202824332	regcircuit	yeast	0.005050505050505051
304	human_seek_gpl5175	yeast_dream5	regcircuit	yeast_sisima#ap2	dummy		human_seek_gpl5175#regcircuit	yeast_dream5#yeast_sisima#ap2	human	0.0031719207763671875	0.01348510202824332	regcircuit	yeast	0.005050505050505051
305	human_seek_gpl5175	yeast_dream5	regcircuit	yeast_sisima#ap3	dummy		human_seek_gpl5175#regcircuit	yeast_dream5#yeast_sisima#ap3	human	0.0031719207763671875	0.01348510202824332	regcircuit	yeast	0.005050505050505051
306	human_seek_gpl5175	yeast_dream5	regcircuit	yeast_sisima#mcl1	dummy		human_seek_gpl5175#regcircuit	yeast_dream5#yeast_sisima#mcl1	human	0.0031719207763671875	0.01348510202824332	regcircuit	yeast	0.005050505050505051
307	human_seek_gpl5175	yeast_dream5	regcircuit	yeast_sisima#mcl2	dummy		human_seek_gpl5175#regcircuit	yeast_dream5#yeast_sisima#mcl2	human	0.0031719207763671875	0.01348510202824332	regcircuit	yeast	0.005050505050505051
308	human_seek_gpl5175	yeast_dream5	regcircuit	yeast_sisima#mcl3	dummy		human_seek_gpl5175#regcircuit	yeast_dream5#yeast_sisima#mcl3	human	0.0031719207763671875	0.01348510202824332	regcircuit	yeast	0.005050505050505051
309	human_seek_gpl5175	yeast_dream5	regcircuit	yeast_sisima#minimal	dummy		human_seek_gpl5175#regcircuit	yeast_dream5#yeast_sisima#minimal	human	0.0031719207763671875	0.01348510202824332	regcircuit	yeast	0.005050505050505051
310	human_seek_gpl5175	yeast_dream5	regcircuit	yeast_sisima#strict	dummy		human_seek_gpl5175#regcircuit	yeast_dream5#yeast_sisima#strict	human	0.0031719207763671875	0.01348510202824332	regcircuit	yeast	0.005050505050505051
311	human_seek_gpl5175	yeast_dream5	regcircuit	yeast_sisima#tc1	dummy		human_seek_gpl5175#regcircuit	yeast_dream5#yeast_sisima#tc1	human	0.0031719207763671875	0.01348510202824332	regcircuit	yeast	0.005050505050505051
312	human_seek_gpl5175	yeast_dream5	regcircuit	yeast_sisima#tc2	dummy		human_seek_gpl5175#regcircuit	yeast_dream5#yeast_sisima#tc2	human	0.0031719207763671875	0.01348510202824332	regcircuit	yeast	0.005050505050505051
313	human_seek_gpl5175	yeast_dream5	regcircuit	yeast_sisima#tc3	dummy		human_seek_gpl5175#regcircuit	yeast_dream5#yeast_sisima#tc3	human	0.0031719207763671875	0.01348510202824332	regcircuit	yeast	0.005050505050505051
314	human_seek_gpl5175	yeast_gpl2529	regcircuit	yeast_macisaac#ap1	dummy		human_seek_gpl5175#regcircuit	yeast_gpl2529#yeast_macisaac#ap1	human	0.003212451934814453	0.054246887704524266	regcircuit	yeast	0.005050505050505051
315	human_seek_gpl5175	yeast_gpl2529	regcircuit	yeast_macisaac#ap2	dummy		human_seek_gpl5175#regcircuit	yeast_gpl2529#yeast_macisaac#ap2	human	0.0031719207763671875	0.01348510202824332	regcircuit	yeast	0.005050505050505051
316	human_seek_gpl5175	yeast_gpl2529	regcircuit	yeast_macisaac#ap3	dummy		human_seek_gpl5175#regcircuit	yeast_gpl2529#yeast_macisaac#ap3	human	0.003151893615722656	0.04456213261151315	regcircuit	yeast	0.005050505050505051
317	human_seek_gpl5175	yeast_gpl2529	regcircuit	yeast_macisaac#mcl1	dummy		human_seek_gpl5175#regcircuit	yeast_gpl2529#yeast_macisaac#mcl1	human	0.0036661624908447274	0.04566545914109668	regcircuit	yeast	0.005050505050505051
318	human_seek_gpl5175	yeast_gpl2529	regcircuit	yeast_macisaac#mcl2	dummy		human_seek_gpl5175#regcircuit	yeast_gpl2529#yeast_macisaac#mcl2	human	0.003151893615722656	0.04456213261151315	regcircuit	yeast	0.005050505050505051
319	human_seek_gpl5175	yeast_gpl2529	regcircuit	yeast_macisaac#mcl3	dummy		human_seek_gpl5175#regcircuit	yeast_gpl2529#yeast_macisaac#mcl3	human	0.0036661624908447274	0.04566545914109668	regcircuit	yeast	0.005050505050505051
320	human_seek_gpl5175	yeast_gpl2529	regcircuit	yeast_macisaac#minimal	dummy		human_seek_gpl5175#regcircuit	yeast_gpl2529#yeast_macisaac#minimal	human	0.0031719207763671875	0.01348510202824332	regcircuit	yeast	0.005050505050505051
321	human_seek_gpl5175	yeast_gpl2529	regcircuit	yeast_macisaac#strict	dummy		human_seek_gpl5175#regcircuit	yeast_gpl2529#yeast_macisaac#strict	human	0.003151893615722656	0.04456213261151315	regcircuit	yeast	0.005050505050505051
322	human_seek_gpl5175	yeast_gpl2529	regcircuit	yeast_macisaac#tc1	dummy		human_seek_gpl5175#regcircuit	yeast_gpl2529#yeast_macisaac#tc1	human	0.0036661624908447274	0.04566545914109668	regcircuit	yeast	0.005050505050505051
323	human_seek_gpl5175	yeast_gpl2529	regcircuit	yeast_macisaac#tc2	dummy		human_seek_gpl5175#regcircuit	yeast_gpl2529#yeast_macisaac#tc2	human	0.0031719207763671875	0.01348510202824332	regcircuit	yeast	0.005050505050505051
324	human_seek_gpl5175	yeast_gpl2529	regcircuit	yeast_macisaac#tc3	dummy		human_seek_gpl5175#regcircuit	yeast_gpl2529#yeast_macisaac#tc3	human	0.0036661624908447274	0.04566545914109668	regcircuit	yeast	0.005050505050505051
325	human_seek_gpl5175	yeast_gpl2529	regcircuit	yeast_sisima#ap1	dummy		human_seek_gpl5175#regcircuit	yeast_gpl2529#yeast_sisima#ap1	human	0.0031719207763671875	0.01348510202824332	regcircuit	yeast	0.005050505050505051
326	human_seek_gpl5175	yeast_gpl2529	regcircuit	yeast_sisima#ap2	dummy		human_seek_gpl5175#regcircuit	yeast_gpl2529#yeast_sisima#ap2	human	0.0031719207763671875	0.01348510202824332	regcircuit	yeast	0.005050505050505051
327	human_seek_gpl5175	yeast_gpl2529	regcircuit	yeast_sisima#ap3	dummy		human_seek_gpl5175#regcircuit	yeast_gpl2529#yeast_sisima#ap3	human	0.0031719207763671875	0.01348510202824332	regcircuit	yeast	0.005050505050505051
328	human_seek_gpl5175	yeast_gpl2529	regcircuit	yeast_sisima#mcl1	dummy		human_seek_gpl5175#regcircuit	yeast_gpl2529#yeast_sisima#mcl1	human	0.0031719207763671875	0.01348510202824332	regcircuit	yeast	0.005050505050505051
329	human_seek_gpl5175	yeast_gpl2529	regcircuit	yeast_sisima#mcl2	dummy		human_seek_gpl5175#regcircuit	yeast_gpl2529#yeast_sisima#mcl2	human	0.0031719207763671875	0.01348510202824332	regcircuit	yeast	0.005050505050505051
330	human_seek_gpl5175	yeast_gpl2529	regcircuit	yeast_sisima#mcl3	dummy		human_seek_gpl5175#regcircuit	yeast_gpl2529#yeast_sisima#mcl3	human	0.0031719207763671875	0.01348510202824332	regcircuit	yeast	0.005050505050505051
331	human_seek_gpl5175	yeast_gpl2529	regcircuit	yeast_sisima#minimal	dummy		human_seek_gpl5175#regcircuit	yeast_gpl2529#yeast_sisima#minimal	human	0.0031719207763671875	0.01348510202824332	regcircuit	yeast	0.005050505050505051
332	human_seek_gpl5175	yeast_gpl2529	regcircuit	yeast_sisima#strict	dummy		human_seek_gpl5175#regcircuit	yeast_gpl2529#yeast_sisima#strict	human	0.0031719207763671875	0.01348510202824332	regcircuit	yeast	0.005050505050505051
333	human_seek_gpl5175	yeast_gpl2529	regcircuit	yeast_sisima#tc1	dummy		human_seek_gpl5175#regcircuit	yeast_gpl2529#yeast_sisima#tc1	human	0.0031719207763671875	0.01348510202824332	regcircuit	yeast	0.005050505050505051
334	human_seek_gpl5175	yeast_gpl2529	regcircuit	yeast_sisima#tc2	dummy		human_seek_gpl5175#regcircuit	yeast_gpl2529#yeast_sisima#tc2	human	0.0031719207763671875	0.01348510202824332	regcircuit	yeast	0.005050505050505051
335	human_seek_gpl5175	yeast_gpl2529	regcircuit	yeast_sisima#tc3	dummy		human_seek_gpl5175#regcircuit	yeast_gpl2529#yeast_sisima#tc3	human	0.0031719207763671875	0.01348510202824332	regcircuit	yeast	0.005050505050505051
336	human_tcga	ecoli_colombos	regcircuit	ecoli_regulondb#ap1	dummy		human_tcga#regcircuit	ecoli_colombos#ecoli_regulondb#ap1	human	0.015473365783691406	0.03291920916525373	regcircuit	ecoli	0.005050505050505051
337	human_tcga	ecoli_colombos	regcircuit	ecoli_regulondb#ap2	dummy		human_tcga#regcircuit	ecoli_colombos#ecoli_regulondb#ap2	human	0.005642175674438477	0.007593775416340732	regcircuit	ecoli	0.005050505050505051
338	human_tcga	ecoli_colombos	regcircuit	ecoli_regulondb#ap3	dummy		human_tcga#regcircuit	ecoli_colombos#ecoli_regulondb#ap3	human	0.015473365783691406	0.03291920916525373	regcircuit	ecoli	0.005050505050505051
339	human_tcga	ecoli_colombos	regcircuit	ecoli_regulondb#mcl1	dummy		human_tcga#regcircuit	ecoli_colombos#ecoli_regulondb#mcl1	human	0.015473365783691406	0.03291920916525373	regcircuit	ecoli	0.005050505050505051
340	human_tcga	ecoli_colombos	regcircuit	ecoli_regulondb#mcl2	dummy		human_tcga#regcircuit	ecoli_colombos#ecoli_regulondb#mcl2	human	0.015473365783691406	0.03291920916525373	regcircuit	ecoli	0.005050505050505051
341	human_tcga	ecoli_colombos	regcircuit	ecoli_regulondb#mcl3	dummy		human_tcga#regcircuit	ecoli_colombos#ecoli_regulondb#mcl3	human	0.015473365783691406	0.03291920916525373	regcircuit	ecoli	0.005050505050505051
342	human_tcga	ecoli_colombos	regcircuit	ecoli_regulondb#minimal	dummy		human_tcga#regcircuit	ecoli_colombos#ecoli_regulondb#minimal	human	0.015473365783691406	0.03291920916525373	regcircuit	ecoli	0.005050505050505051
343	human_tcga	ecoli_colombos	regcircuit	ecoli_regulondb#strict	dummy		human_tcga#regcircuit	ecoli_colombos#ecoli_regulondb#strict	human	0.015473365783691406	0.03291920916525373	regcircuit	ecoli	0.005050505050505051
344	human_tcga	ecoli_colombos	regcircuit	ecoli_regulondb#tc1	dummy		human_tcga#regcircuit	ecoli_colombos#ecoli_regulondb#tc1	human	0.015473365783691406	0.03291920916525373	regcircuit	ecoli	0.005050505050505051
345	human_tcga	ecoli_colombos	regcircuit	ecoli_regulondb#tc2	dummy		human_tcga#regcircuit	ecoli_colombos#ecoli_regulondb#tc2	human	0.005642175674438477	0.007593775416340732	regcircuit	ecoli	0.005050505050505051
346	human_tcga	ecoli_colombos	regcircuit	ecoli_regulondb#tc3	dummy		human_tcga#regcircuit	ecoli_colombos#ecoli_regulondb#tc3	human	0.015473365783691406	0.03291920916525373	regcircuit	ecoli	0.005050505050505051
347	human_tcga	ecoli_dream5	regcircuit	ecoli_regulondb#ap1	dummy		human_tcga#regcircuit	ecoli_dream5#ecoli_regulondb#ap1	human	0.004987955093383789	0.03469237499851096	regcircuit	ecoli	0.005050505050505051
348	human_tcga	ecoli_dream5	regcircuit	ecoli_regulondb#ap2	dummy		human_tcga#regcircuit	ecoli_dream5#ecoli_regulondb#ap2	human	0.005642175674438477	0.007593775416340732	regcircuit	ecoli	0.005050505050505051
349	human_tcga	ecoli_dream5	regcircuit	ecoli_regulondb#ap3	dummy		human_tcga#regcircuit	ecoli_dream5#ecoli_regulondb#ap3	human	0.015473365783691406	0.03291920916525373	regcircuit	ecoli	0.005050505050505051
350	human_tcga	ecoli_dream5	regcircuit	ecoli_regulondb#mcl1	dummy		human_tcga#regcircuit	ecoli_dream5#ecoli_regulondb#mcl1	human	0.004987955093383789	0.03469237499851096	regcircuit	ecoli	0.005050505050505051
351	human_tcga	ecoli_dream5	regcircuit	ecoli_regulondb#mcl2	dummy		human_tcga#regcircuit	ecoli_dream5#ecoli_regulondb#mcl2	human	0.015473365783691406	0.03291920916525373	regcircuit	ecoli	0.005050505050505051
352	human_tcga	ecoli_dream5	regcircuit	ecoli_regulondb#mcl3	dummy		human_tcga#regcircuit	ecoli_dream5#ecoli_regulondb#mcl3	human	0.004987955093383789	0.03469237499851096	regcircuit	ecoli	0.005050505050505051
353	human_tcga	ecoli_dream5	regcircuit	ecoli_regulondb#minimal	dummy		human_tcga#regcircuit	ecoli_dream5#ecoli_regulondb#minimal	human	0.004987955093383789	0.03469237499851096	regcircuit	ecoli	0.005050505050505051
354	human_tcga	ecoli_dream5	regcircuit	ecoli_regulondb#strict	dummy		human_tcga#regcircuit	ecoli_dream5#ecoli_regulondb#strict	human	0.015473365783691406	0.03291920916525373	regcircuit	ecoli	0.005050505050505051
355	human_tcga	ecoli_dream5	regcircuit	ecoli_regulondb#tc1	dummy		human_tcga#regcircuit	ecoli_dream5#ecoli_regulondb#tc1	human	0.015473365783691406	0.03291920916525373	regcircuit	ecoli	0.005050505050505051
356	human_tcga	ecoli_dream5	regcircuit	ecoli_regulondb#tc2	dummy		human_tcga#regcircuit	ecoli_dream5#ecoli_regulondb#tc2	human	0.004987955093383789	0.03469237499851096	regcircuit	ecoli	0.005050505050505051
357	human_tcga	ecoli_dream5	regcircuit	ecoli_regulondb#tc3	dummy		human_tcga#regcircuit	ecoli_dream5#ecoli_regulondb#tc3	human	0.015473365783691406	0.03291920916525373	regcircuit	ecoli	0.005050505050505051
361	human_tcga	yeast_dream5	regcircuit	yeast_macisaac#ap1	dummy		human_tcga#regcircuit	yeast_dream5#yeast_macisaac#ap1	human	0.004721403121948242	0.04402076916477725	regcircuit	yeast	0.005050505050505051
362	human_tcga	yeast_dream5	regcircuit	yeast_macisaac#ap2	dummy		human_tcga#regcircuit	yeast_dream5#yeast_macisaac#ap2	human	0.005642175674438477	0.007593775416340732	regcircuit	yeast	0.005050505050505051
363	human_tcga	yeast_dream5	regcircuit	yeast_macisaac#ap3	dummy		human_tcga#regcircuit	yeast_dream5#yeast_macisaac#ap3	human	0.004721403121948242	0.04402076916477725	regcircuit	yeast	0.005050505050505051
364	human_tcga	yeast_dream5	regcircuit	yeast_macisaac#mcl1	dummy		human_tcga#regcircuit	yeast_dream5#yeast_macisaac#mcl1	human	0.004987955093383789	0.03469237499851096	regcircuit	yeast	0.005050505050505051
365	human_tcga	yeast_dream5	regcircuit	yeast_macisaac#mcl2	dummy		human_tcga#regcircuit	yeast_dream5#yeast_macisaac#mcl2	human	0.015473365783691406	0.03291920916525373	regcircuit	yeast	0.005050505050505051
366	human_tcga	yeast_dream5	regcircuit	yeast_macisaac#mcl3	dummy		human_tcga#regcircuit	yeast_dream5#yeast_macisaac#mcl3	human	0.004987955093383789	0.03469237499851096	regcircuit	yeast	0.005050505050505051
367	human_tcga	yeast_dream5	regcircuit	yeast_macisaac#minimal	dummy		human_tcga#regcircuit	yeast_dream5#yeast_macisaac#minimal	human	0.015473365783691406	0.03291920916525373	regcircuit	yeast	0.005050505050505051
368	human_tcga	yeast_dream5	regcircuit	yeast_macisaac#strict	dummy		human_tcga#regcircuit	yeast_dream5#yeast_macisaac#strict	human	0.015473365783691406	0.03291920916525373	regcircuit	yeast	0.005050505050505051
369	human_tcga	yeast_dream5	regcircuit	yeast_macisaac#tc1	dummy		human_tcga#regcircuit	yeast_dream5#yeast_macisaac#tc1	human	0.004987955093383789	0.03469237499851096	regcircuit	yeast	0.005050505050505051
370	human_tcga	yeast_dream5	regcircuit	yeast_macisaac#tc2	dummy		human_tcga#regcircuit	yeast_dream5#yeast_macisaac#tc2	human	0.005642175674438477	0.007593775416340732	regcircuit	yeast	0.005050505050505051
371	human_tcga	yeast_dream5	regcircuit	yeast_macisaac#tc3	dummy		human_tcga#regcircuit	yeast_dream5#yeast_macisaac#tc3	human	0.004987955093383789	0.03469237499851096	regcircuit	yeast	0.005050505050505051
372	human_tcga	yeast_dream5	regcircuit	yeast_sisima#ap1	dummy		human_tcga#regcircuit	yeast_dream5#yeast_sisima#ap1	human	0.005642175674438477	0.007593775416340732	regcircuit	yeast	0.005050505050505051
373	human_tcga	yeast_dream5	regcircuit	yeast_sisima#ap2	dummy		human_tcga#regcircuit	yeast_dream5#yeast_sisima#ap2	human	0.005642175674438477	0.007593775416340732	regcircuit	yeast	0.005050505050505051
374	human_tcga	yeast_dream5	regcircuit	yeast_sisima#ap3	dummy		human_tcga#regcircuit	yeast_dream5#yeast_sisima#ap3	human	0.005642175674438477	0.007593775416340732	regcircuit	yeast	0.005050505050505051
375	human_tcga	yeast_dream5	regcircuit	yeast_sisima#mcl1	dummy		human_tcga#regcircuit	yeast_dream5#yeast_sisima#mcl1	human	0.005642175674438477	0.007593775416340732	regcircuit	yeast	0.005050505050505051
376	human_tcga	yeast_dream5	regcircuit	yeast_sisima#mcl2	dummy		human_tcga#regcircuit	yeast_dream5#yeast_sisima#mcl2	human	0.005642175674438477	0.007593775416340732	regcircuit	yeast	0.005050505050505051
377	human_tcga	yeast_dream5	regcircuit	yeast_sisima#mcl3	dummy		human_tcga#regcircuit	yeast_dream5#yeast_sisima#mcl3	human	0.005642175674438477	0.007593775416340732	regcircuit	yeast	0.005050505050505051
378	human_tcga	yeast_dream5	regcircuit	yeast_sisima#minimal	dummy		human_tcga#regcircuit	yeast_dream5#yeast_sisima#minimal	human	0.005642175674438477	0.007593775416340732	regcircuit	yeast	0.005050505050505051
379	human_tcga	yeast_dream5	regcircuit	yeast_sisima#strict	dummy		human_tcga#regcircuit	yeast_dream5#yeast_sisima#strict	human	0.005642175674438477	0.007593775416340732	regcircuit	yeast	0.005050505050505051
380	human_tcga	yeast_dream5	regcircuit	yeast_sisima#tc1	dummy		human_tcga#regcircuit	yeast_dream5#yeast_sisima#tc1	human	0.005642175674438477	0.007593775416340732	regcircuit	yeast	0.005050505050505051
